file,sample,CONVERTED-BASES,CONVERTED-READS,INPUT-BASES,INPUT-READS,MAPPED-BASES,MAPPED-READS,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T2_WG36.bre.gd,T2_WG36,2484012559,20811153,2485993206,20827226,2469936731,20699843,4,1,3,0,0,0,0,0,0,0,3773875,3712714,0,0,0,0,0,1
T2_WG37.bre.gd,T2_WG37,139823095,1118274,139913203,1118994,137740589,1101821,5,2,3,0,0,0,0,0,0,0,3773875,3693532,0,1,0,0,0,1
T2_WG38.bre.gd,T2_WG38,1678217464,13800181,1680053712,13815224,1668661912,13725481,6,2,4,0,0,0,0,0,0,0,3773875,3712490,0,1,0,0,0,1
T2_WG39.bre.gd,T2_WG39,2563023425,21872997,2563920705,21880396,2548393742,21754866,4,1,3,0,0,0,0,0,0,0,3773875,3712734,0,0,0,0,0,1
T2_WG40.bre.gd,T2_WG40,914807098,7719924,915046165,7721876,903972681,7626875,4,1,3,0,0,0,0,0,0,0,3773875,3711544,0,0,0,0,0,1
T2_WG41.bre.gd,T2_WG41,1862343878,15957160,1863007942,15962702,1851826839,15871714,4,2,2,0,0,0,0,0,0,0,3773875,3712348,0,1,0,0,0,1
T2_WG42.bre.gd,T2_WG42,1970827327,16737362,1971521830,16743016,1954787533,16604949,4,2,2,0,0,0,0,0,0,0,3773875,3712404,1,0,0,0,0,1
T2_WG43.bre.gd,T2_WG43,1640624115,13643859,1642040274,13655366,1630766972,13565336,5,2,3,0,0,0,0,0,0,0,3773875,3712521,0,1,0,0,0,1
T2_WG44.bre.gd,T2_WG44,1494527778,12414333,1495489295,12422088,1487017599,12355060,5,3,2,0,0,0,0,0,0,0,3773875,3712385,0,1,0,0,0,2
T2_WG45.bre.gd,T2_WG45,2589829993,22215879,2590833290,22224074,2577121626,22112837,3,1,2,0,0,0,0,0,0,0,3773875,3712603,0,0,0,0,0,1
T2_WG46.bre.gd,T2_WG46,780939266,6612394,781625126,6617944,777359376,6584590,5,2,3,0,0,0,0,0,0,0,3773875,3712075,0,1,0,0,0,1
T2_WG47.bre.gd,T2_WG47,3511764403,30178144,3513194528,30190000,3499973116,30084026,4,1,3,0,0,0,0,0,0,0,3773875,3712679,0,0,0,0,0,1
T2_WG48.bre.gd,T2_WG48,544759201,4392870,545214401,4396526,541795222,4370283,4,1,3,0,0,0,0,0,0,0,3773875,3711509,0,0,0,0,0,1
T3_CG01.bre.gd,T3_CG01,1246336149,10456937,1247358991,10465224,1239097419,10399628,5,2,3,0,0,0,0,0,0,0,3773875,3712323,1,0,0,0,0,1
T3_CG02.bre.gd,T3_CG02,260936572,2124726,261152866,2126478,259323143,2112248,6,2,4,0,0,0,0,0,0,0,3773875,3708022,1,0,0,0,0,1
T3_CG03.bre.gd,T3_CG03,622935657,5073331,623411075,5077154,616112543,5018540,5,2,3,0,0,0,0,0,0,0,3773875,3711750,0,1,0,0,0,1
T3_CG04.bre.gd,T3_CG04,1145231205,9315058,1146221070,9323038,1134199772,9227186,4,1,3,0,0,0,0,0,0,0,3773875,3712461,0,0,0,0,0,1
